"displacement,mm","force,kN","force,N"
0.0,0.00877679,8.77679
0.0159997,1.7308599999999998,1730.86
0.0320044,3.0537300000000003,3053.73
0.0479975,3.2612,3261.2
0.0639906,3.47778,3477.78
0.0799837,3.65301,3653.01
0.0959768,3.77054,3770.54
0.111966,3.8280700000000003,3828.07
0.127959,3.87386,3873.86
0.143952,3.92484,3924.84
0.159953,3.96989,3969.89
0.175985,4.00127,4001.27
0.192016,4.0225,4022.5
0.208048,4.0481,4048.1
0.224079,4.0811399999999995,4081.14
0.240111,4.11143,4111.43
0.256139,4.13495,4134.95
0.27217,4.15391,4153.91
0.288202,4.17441,4174.41
0.304234,4.1991000000000005,4199.1
0.320265,4.22416,4224.16
0.336296,4.24692,4246.92
0.352328,4.26584,4265.84
0.368356,4.2838400000000005,4283.84
0.384387,4.30187,4301.87
0.400419,4.32092,4320.92
0.416451,4.34094,4340.94
0.432482,4.36069,4360.69
0.448513,4.37931,4379.31
0.464545,4.39672,4396.72
0.480577,4.4142,4414.2
0.496605,4.43133,4431.33
0.512636,4.44778,4447.78
0.528668,4.46462,4464.62
0.544699,4.48146,4481.46
0.56073,4.497350000000001,4497.35
0.576763,4.51327,4513.27
0.592794,4.5292,4529.2
0.608826,4.54444,4544.44
0.624854,4.5600000000000005,4560.0
0.640743,4.57483,4574.83
0.656616,4.58958,4589.58
0.672494,4.60429,4604.29
0.688372,4.61854,4618.54
0.70425,4.63291,4632.91
0.720127,4.64691,4646.91
0.736001,4.66086,4660.86
0.751879,4.67468,4674.68
0.767757,4.68825,4688.25
0.783634,4.70183,4701.83
0.799508,4.7151000000000005,4715.1
0.815387,4.72841,4728.41
0.831265,4.7414700000000005,4741.47
0.847142,4.75448,4754.48
0.863019,4.76732,4767.32
0.878895,4.78005,4780.05
0.894772,4.79267,4792.67
0.910649,4.805140000000001,4805.14
0.926528,4.81754,4817.54
0.942402,4.8297799999999995,4829.78
0.958279,4.8420000000000005,4842.0
0.974156,4.85402,4854.02
0.990035,4.86601,4866.01
1.00601,4.87783,4877.83
1.022,4.88965,4889.65
1.03801,4.90128,4901.28
1.05401,4.912890000000001,4912.89
1.07001,4.92436,4924.36
1.086,4.935770000000001,4935.77
1.10201,4.9470600000000005,4947.06
1.118,4.95829,4958.29
1.13401,4.96941,4969.41
1.15001,4.98049,4980.49
1.166,4.99143,4991.43
1.18201,5.002350000000001,5002.35
1.19801,5.013140000000001,5013.14
1.21401,5.023899999999999,5023.9
1.23,5.03454,5034.54
1.246,5.04516,5045.16
1.26201,5.05567,5055.67
1.27801,5.06613,5066.13
1.29401,5.0765,5076.5
1.31001,5.0868,5086.8
1.326,5.09705,5097.05
1.34201,5.107220000000001,5107.22
1.35801,5.11735,5117.35
1.374,5.1273800000000005,5127.38
1.39,5.13736,5137.36
1.40601,5.1472500000000005,5147.25
1.42201,5.157109999999999,5157.11
1.43801,5.1669,5166.9
1.454,5.176640000000001,5176.64
1.47001,5.1863,5186.3
1.48601,5.19591,5195.91
1.50201,5.20546,5205.46
1.518,5.21495,5214.95
1.534,5.22441,5224.41
1.55001,5.23379,5233.79
1.56592,5.24312,5243.12
1.58168,5.25241,5252.41
1.59743,5.26163,5261.63
