
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9998E-03         1.29605E+03
              100.012E-06         32.0044E-03         1.90186E+03
              150.001E-06         47.9975E-03         2.66566E+03
              200.004E-06         63.9906E-03         3.27464E+03
              250.007E-06         79.9837E-03         3.73775E+03
              300.009E-06         95.9769E-03         4.09121E+03
              350.E-06           111.966E-03          4.30634E+03
              400.003E-06        127.959E-03          4.38406E+03
              450.005E-06        143.952E-03          4.40077E+03
              500.004E-06        159.953E-03          4.40648E+03
              550.005E-06        175.985E-03          4.41106E+03
              600.007E-06        192.016E-03          4.41361E+03
              650.008E-06        208.048E-03          4.41609E+03
              700.01E-06         224.079E-03          4.41756E+03
              750.011E-06        240.111E-03          4.41866E+03
              800.001E-06        256.139E-03          4.41939E+03
              850.003E-06        272.17E-03           4.4196E+03 
              900.004E-06        288.202E-03          4.4195E+03 
              950.006E-06        304.234E-03          4.41908E+03
                1.00001E-03      320.265E-03          4.41833E+03
                1.05001E-03      336.296E-03          4.4173E+03 
                1.10001E-03      352.328E-03          4.41601E+03
                1.15E-03         368.356E-03          4.41446E+03
                1.2E-03          384.387E-03          4.41267E+03
                1.25E-03         400.419E-03          4.41066E+03
                1.3E-03          416.451E-03          4.40842E+03
                1.35001E-03      432.482E-03          4.40597E+03
                1.40001E-03      448.513E-03          4.40331E+03
                1.45001E-03      464.545E-03          4.40045E+03
                1.50001E-03      480.577E-03          4.3974E+03 
                1.55E-03         496.605E-03          4.39416E+03
                1.6E-03          512.636E-03          4.39073E+03
                1.65E-03         528.668E-03          4.38712E+03
                1.7E-03          544.699E-03          4.38333E+03
                1.75001E-03      560.73E-03           4.37935E+03
                1.80001E-03      576.763E-03          4.3752E+03 
                1.85001E-03      592.794E-03          4.37087E+03
                1.90001E-03      608.826E-03          4.36636E+03
                1.95E-03         624.854E-03          4.36168E+03
                2.00001E-03      640.743E-03          4.35685E+03
                2.05E-03         656.616E-03          4.35186E+03
                2.1E-03          672.494E-03          4.34669E+03
                2.15001E-03      688.372E-03          4.34135E+03
                2.20001E-03      704.25E-03           4.33582E+03
                2.25001E-03      720.127E-03          4.33011E+03
                2.3E-03          736.001E-03          4.32422E+03
                2.35E-03         751.879E-03          4.31815E+03
                2.40001E-03      767.757E-03          4.31188E+03
                2.45001E-03      783.634E-03          4.30543E+03
                2.5E-03          799.508E-03          4.29878E+03
                2.55E-03         815.387E-03          4.29194E+03
                2.60001E-03      831.265E-03          4.2849E+03 
                2.65001E-03      847.142E-03          4.27765E+03
                2.70001E-03      863.019E-03          4.2702E+03 
                2.75E-03         878.895E-03          4.26253E+03
                2.8E-03          894.772E-03          4.25465E+03
                2.85001E-03      910.649E-03          4.24654E+03
                2.90001E-03      926.528E-03          4.23821E+03
                2.95E-03         942.402E-03          4.22965E+03
                3.E-03           958.279E-03          4.22085E+03
                3.05001E-03      974.156E-03          4.21181E+03
                3.10001E-03      990.035E-03          4.20252E+03
                3.15001E-03        1.006              4.19297E+03
                3.2E-03            1.022              4.18317E+03
                3.25E-03           1.038              4.17309E+03
                3.30001E-03        1.054              4.16272E+03
                3.35001E-03        1.07               4.15209E+03
                3.4E-03            1.086              4.14115E+03
                3.45E-03           1.102              4.1299E+03 
                3.50001E-03        1.118              4.11835E+03
                3.55001E-03        1.134              4.10648E+03
                3.60001E-03        1.15               4.09425E+03
                3.65E-03           1.166              4.0817E+03 
                3.7E-03            1.182              4.06877E+03
                3.75001E-03        1.198              4.05549E+03
                3.80001E-03        1.214              4.0418E+03 
                3.85E-03           1.23               4.02774E+03
                3.9E-03            1.246              4.01325E+03
                3.95E-03           1.26209            3.99825E+03
                4.E-03             1.27822            3.98264E+03
                4.05E-03           1.29411            3.9668E+03 
                4.1E-03            1.31016            3.95033E+03
                4.15E-03           1.32619            3.93337E+03
                4.20001E-03        1.34204            3.91611E+03
                4.25E-03           1.35821            3.89795E+03
                4.30001E-03        1.3741             3.87956E+03
                4.35001E-03        1.39018            3.86039E+03
                4.4E-03            1.4062             3.84072E+03
                4.45001E-03        1.4221             3.8206E+03 
                4.50001E-03        1.43822            3.79955E+03
                4.55001E-03        1.45404            3.77833E+03
                4.60001E-03        1.4702             3.756E+03  
                4.65E-03           1.48615            3.73336E+03
                4.70001E-03        1.50211            3.71006E+03
                4.75001E-03        1.51822            3.68594E+03
                4.8E-03            1.534              3.66172E+03
                4.85001E-03        1.55022            3.63618E+03
                4.9E-03            1.56618            3.61046E+03
                4.95E-03           1.58208            3.5843E+03 
                5.E-03             1.59827            3.55708E+03




