"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.133656,133.656
0.03599,0.599326,599.326
0.0539531,1.00911,1009.11
0.071938,1.30155,1301.55
0.0899438,1.88874,1888.74
0.107949,2.22133,2221.33
0.12595,2.35909,2359.09
0.14387,2.56554,2565.54
0.16179,2.70608,2706.08
0.179767,2.97825,2978.25
0.197929,3.47976,3479.76
0.216091,3.64792,3647.92
0.234254,3.7222600000000003,3722.26
0.252433,3.82871,3828.71
0.270663,3.93897,3938.97
0.288652,4.13324,4133.24
0.306641,4.2178,4217.8
0.32463,4.25866,4258.66
0.342619,4.26016,4260.16
0.360397,4.2389399999999995,4238.94
0.377949,4.26073,4260.73
0.395509,4.285430000000001,4285.43
0.413529,4.3003800000000005,4300.38
0.431549,4.29433,4294.33
0.449761,4.301100000000001,4301.1
0.467922,4.31127,4311.27
0.485846,4.333670000000001,4333.67
0.503948,4.3392100000000005,4339.21
0.521924,4.34165,4341.65
0.539935,4.34725,4347.25
0.557751,4.35524,4355.24
0.57559,4.3602799999999995,4360.28
0.593652,4.37809,4378.09
0.611846,4.3815100000000005,4381.51
0.630067,4.388,4388.0
0.648002,4.3946499999999995,4394.65
0.665926,4.40193,4401.93
0.683846,4.40961,4409.61
0.701766,4.41884,4418.84
0.720886,4.42663,4426.63
0.73998,4.43322,4433.22
0.758274,4.44057,4440.57
0.776559,4.44529,4445.29
0.794846,4.45091,4450.91
0.81313,4.46072,4460.72
0.830921,4.4648,4464.8
0.848301,4.473020000000001,4473.02
0.865672,4.4775,4477.5
0.883042,4.4851,4485.1
0.900414,4.49111,4491.11
0.91705,4.4967,4496.7
0.935955,4.50244,4502.44
0.955155,4.50771,4507.71
0.974354,4.51334,4513.34
0.993554,4.52157,4521.57
1.01201,4.52726,4527.26
1.0302,4.53326,4533.26
1.0494,4.538939999999999,4538.94
1.06774,4.5441400000000005,4544.14
1.08508,4.55109,4551.09
1.10214,4.5574200000000005,4557.42
1.11921,4.56226,4562.26
1.13628,4.5676499999999995,4567.65
1.15334,4.57454,4574.54
1.17041,4.57814,4578.14
1.18748,4.58529,4585.29
1.20454,4.59328,4593.28
1.22161,4.59614,4596.14
1.23868,4.60493,4604.93
1.25574,4.60771,4607.71
1.27283,4.6142900000000004,4614.29
1.28992,4.622920000000001,4622.92
1.30707,4.62488,4624.88
1.32415,4.63636,4636.36
1.34125,4.6377500000000005,4637.75
1.35855,4.6455,4645.5
1.3761,4.65248,4652.48
1.39364,4.6563,4656.3
1.41117,4.66362,4663.62
1.42875,4.67141,4671.41
1.44638,4.676220000000001,4676.22
1.46393,4.6801,4680.1
1.48152,4.68993,4689.93
1.49905,4.6947,4694.7
1.51659,4.70287,4702.87
1.53411,4.7097,4709.7
1.55198,4.714189999999999,4714.19
1.57118,4.720899999999999,4720.9
1.59038,4.72785,4727.85
1.60958,4.73566,4735.66
1.62878,4.74321,4743.21
1.64799,4.75243,4752.43
1.66718,4.75936,4759.36
1.68638,4.765,4765.0
1.70558,4.77595,4775.95
1.72478,4.78483,4784.83
1.74398,4.79123,4791.23
1.76318,4.79485,4794.85
1.78238,4.80177,4801.77
1.80158,4.81029,4810.29
