"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.130166,130.166
0.03599,0.566531,566.531
0.0539531,0.9271590000000001,927.159
0.0719376,1.21051,1210.51
0.0899433,1.5871199999999999,1587.12
0.107912,1.48052,1480.52
0.125832,1.62156,1621.56
0.143752,1.8419100000000002,1841.91
0.161672,1.85189,1851.89
0.179648,1.9066800000000002,1906.68
0.197811,1.9116600000000001,1911.66
0.21597,1.87918,1879.18
0.234195,1.91112,1911.12
0.252252,1.94311,1943.11
0.270042,1.90995,1909.95
0.287963,1.93685,1936.85
0.30615,1.92832,1928.32
0.324064,1.94082,1940.82
0.341913,1.94605,1946.05
0.359766,1.94263,1942.63
0.377997,1.95642,1956.42
0.395878,1.95483,1954.83
0.413668,1.96278,1962.78
0.431726,1.96458,1964.58
0.449707,1.9695,1969.5
0.467887,1.9747999999999999,1974.8
0.486122,1.97791,1977.91
0.504472,1.98158,1981.58
0.523031,1.98639,1986.39
0.541529,1.9906199999999998,1990.62
0.559463,1.99501,1995.01
0.577383,1.99806,1998.06
0.595303,2.0027500000000003,2002.75
0.613223,2.00677,2006.77
0.631143,2.01062,2010.62
0.649063,2.01344,2013.44
0.666983,2.01764,2017.64
0.684779,2.02168,2021.68
0.702101,2.0246,2024.6
0.720351,2.02831,2028.31
0.738636,2.03251,2032.51
0.756923,2.0354900000000002,2035.49
0.7752,2.03869,2038.69
0.792669,2.0422000000000002,2042.2
0.81004,2.0461300000000002,2046.13
0.827412,2.0490700000000004,2049.07
0.844784,2.05153,2051.53
0.862155,2.05537,2055.37
0.878922,2.05781,2057.81
0.896289,2.0623400000000003,2062.34
0.915195,2.06653,2066.53
0.934388,2.06993,2069.93
0.953586,2.07351,2073.51
0.972786,2.07581,2075.81
0.991982,2.0814299999999997,2081.43
1.01118,2.0828800000000003,2082.88
1.02963,2.08743,2087.43
1.04879,2.09051,2090.51
1.06799,2.0938000000000003,2093.8
1.08719,2.09754,2097.54
1.10639,2.10157,2101.57
1.12559,2.10443,2104.43
1.14479,2.10929,2109.29
1.16399,2.11145,2111.45
1.18319,2.11287,2112.87
1.20239,2.1193400000000002,2119.34
1.22159,2.1225500000000004,2122.55
1.24079,2.12528,2125.28
1.25999,2.13074,2130.74
1.27919,2.13422,2134.22
1.29839,2.1347,2134.7
1.31759,2.1392700000000002,2139.27
1.33679,2.14392,2143.92
1.35599,2.14642,2146.42
1.37519,2.15206,2152.06
1.39439,2.1534299999999997,2153.43
1.41359,2.1579800000000002,2157.98
1.43279,2.16181,2161.81
1.45199,2.16678,2166.78
1.47119,2.17075,2170.75
1.49039,2.17415,2174.15
1.50959,2.1778600000000004,2177.86
1.52879,2.18125,2181.25
1.54799,2.18662,2186.62
1.56719,2.1892300000000002,2189.23
1.58639,2.19354,2193.54
1.60559,2.1974299999999998,2197.43
1.62479,2.20304,2203.04
1.64399,2.2046,2204.6
1.6632,2.21077,2210.77
1.6826,2.21425,2214.25
1.70383,2.21831,2218.31
1.72516,2.22439,2224.39
1.7465,2.22832,2228.32
1.76783,2.23218,2232.18
1.78916,2.2367500000000002,2236.75
1.8105,2.24033,2240.33
1.83183,2.2457399999999996,2245.74
1.85315,2.25029,2250.29
1.87445,2.25538,2255.38
