
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.73086E+03
              100.012E-06         32.0044E-03         3.53482E+03
              150.001E-06         47.9975E-03         5.09007E+03
              200.004E-06         63.9906E-03         6.52828E+03
              250.007E-06         79.9837E-03         7.57436E+03
              300.009E-06         95.9768E-03         7.58849E+03
              350.E-06           111.966E-03          7.67912E+03
              400.003E-06        127.959E-03          7.7812E+03 
              450.005E-06        143.952E-03          7.87312E+03
              500.004E-06        159.953E-03          7.92276E+03
              550.005E-06        175.985E-03          7.98862E+03
              600.007E-06        192.016E-03          8.04061E+03
              650.008E-06        208.048E-03          8.09286E+03
              700.01E-06         224.079E-03          8.1377E+03 
              750.011E-06        240.111E-03          8.18348E+03
              800.001E-06        256.139E-03          8.23224E+03
              850.003E-06        272.17E-03           8.27583E+03
              900.004E-06        288.202E-03          8.32158E+03
              950.006E-06        304.234E-03          8.36189E+03
                1.00001E-03      320.265E-03          8.40181E+03
                1.05001E-03      336.296E-03          8.44138E+03
                1.10001E-03      352.328E-03          8.48011E+03
                1.15E-03         368.356E-03          8.51695E+03
                1.2E-03          384.387E-03          8.55392E+03
                1.25E-03         400.419E-03          8.58924E+03
                1.3E-03          416.451E-03          8.62382E+03
                1.35001E-03      432.482E-03          8.65821E+03
                1.40001E-03      448.513E-03          8.69167E+03
                1.45001E-03      464.545E-03          8.72399E+03
                1.50001E-03      480.577E-03          8.75634E+03
                1.55E-03         496.605E-03          8.78816E+03
                1.6E-03          512.636E-03          8.81915E+03
                1.65E-03         528.668E-03          8.8494E+03 
                1.7E-03          544.699E-03          8.87932E+03
                1.75001E-03      560.73E-03           8.90905E+03
                1.80001E-03      576.763E-03          8.93799E+03
                1.85001E-03      592.794E-03          8.96648E+03
                1.90001E-03      608.826E-03          8.99454E+03
                1.95E-03         624.854E-03          9.02215E+03
                2.00001E-03      640.743E-03          9.04935E+03
                2.05E-03         656.616E-03          9.07597E+03
                2.1E-03          672.494E-03          9.10215E+03
                2.15001E-03      688.372E-03          9.12797E+03
                2.20001E-03      704.25E-03           9.15341E+03
                2.25001E-03      720.127E-03          9.17866E+03
                2.3E-03          736.001E-03          9.20352E+03
                2.35E-03         751.879E-03          9.22817E+03
                2.40001E-03      767.757E-03          9.25241E+03
                2.45001E-03      783.634E-03          9.27644E+03
                2.5E-03          799.508E-03          9.30011E+03
                2.55E-03         815.387E-03          9.32357E+03
                2.60001E-03      831.265E-03          9.34669E+03
                2.65001E-03      847.142E-03          9.36958E+03
                2.70001E-03      863.019E-03          9.39215E+03
                2.75E-03         878.895E-03          9.41447E+03
                2.8E-03          894.772E-03          9.43655E+03
                2.85001E-03      910.649E-03          9.45834E+03
                2.90001E-03      926.528E-03          9.47985E+03
                2.95E-03         942.402E-03          9.50111E+03
                3.E-03           958.279E-03          9.52217E+03
                3.05001E-03      974.156E-03          9.54296E+03
                3.10001E-03      990.035E-03          9.56358E+03
                3.15001E-03        1.00599            9.58399E+03
                3.2E-03            1.02199            9.60419E+03
                3.25E-03           1.03799            9.62418E+03
                3.30001E-03        1.05399            9.64399E+03
                3.35001E-03        1.06999            9.66362E+03
                3.4E-03            1.08599            9.68306E+03
                3.45E-03           1.10199            9.70229E+03
                3.50001E-03        1.11799            9.72136E+03
                3.55001E-03        1.13399            9.74029E+03
                3.60001E-03        1.14999            9.75902E+03
                3.65E-03           1.16599            9.77756E+03
                3.7E-03            1.18199            9.79601E+03
                3.75001E-03        1.19799            9.81422E+03
                3.80001E-03        1.21399            9.83231E+03
                3.85E-03           1.22999            9.85022E+03
                3.9E-03            1.24599            9.86794E+03
                3.95001E-03        1.26199            9.88554E+03
                4.00001E-03        1.27799            9.90299E+03
                4.05001E-03        1.29399            9.92028E+03
                4.1E-03            1.30999            9.93742E+03
                4.15E-03           1.32599            9.9544E+03 
                4.20001E-03        1.34199            9.97123E+03
                4.25001E-03        1.35799            9.98795E+03
                4.3E-03            1.37399           10.0045E+03 
                4.35E-03           1.38999           10.0209E+03 
                4.40001E-03        1.40599           10.0372E+03 
                4.45001E-03        1.42199           10.0534E+03 
                4.50001E-03        1.43799           10.0694E+03 
                4.55E-03           1.45399           10.0852E+03 
                4.6E-03            1.46999           10.1009E+03 
                4.65001E-03        1.48599           10.1164E+03 
                4.70001E-03        1.50199           10.1318E+03 
                4.75E-03           1.51799           10.1472E+03 
                4.8E-03            1.53399           10.1623E+03 
                4.85001E-03        1.54999           10.1774E+03 
                4.90001E-03        1.56599           10.1923E+03 
                4.95001E-03        1.58199           10.2071E+03 
                5.E-03             1.59799           10.2218E+03 




