
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.64401E+03
              100.012E-06         32.0044E-03         2.91153E+03
              150.001E-06         47.9975E-03         4.1889E+03 
              200.004E-06         63.9906E-03         5.47508E+03
              250.007E-06         79.9837E-03         6.67322E+03
              300.009E-06         95.9768E-03         7.86082E+03
              350.E-06           111.966E-03          9.01628E+03
              400.003E-06        127.959E-03         10.0984E+03 
              450.005E-06        143.952E-03         11.1422E+03 
              500.004E-06        159.953E-03         12.1113E+03 
              550.005E-06        175.985E-03         13.0062E+03 
              600.007E-06        192.016E-03         13.7864E+03 
              650.008E-06        208.048E-03         14.4051E+03 
              700.01E-06         224.079E-03         14.7507E+03 
              750.011E-06        240.111E-03         14.878E+03  
              800.001E-06        256.139E-03         14.8678E+03 
              850.003E-06        272.17E-03          14.8374E+03 
              900.004E-06        288.202E-03         14.8018E+03 
              950.006E-06        304.234E-03         14.7625E+03 
                1.00001E-03      320.265E-03         14.7215E+03 
                1.05001E-03      336.296E-03         14.6802E+03 
                1.10001E-03      352.328E-03         14.6375E+03 
                1.15E-03         368.356E-03         14.593E+03  
                1.2E-03          384.387E-03         14.5468E+03 
                1.25E-03         400.419E-03         14.5015E+03 
                1.3E-03          416.451E-03         14.4549E+03 
                1.35001E-03      432.482E-03         14.4074E+03 
                1.40001E-03      448.513E-03         14.3589E+03 
                1.45001E-03      464.545E-03         14.3104E+03 
                1.50001E-03      480.577E-03         14.2605E+03 
                1.55E-03         496.605E-03         14.2089E+03 
                1.6E-03          512.636E-03         14.1563E+03 
                1.65E-03         528.668E-03         14.1022E+03 
                1.7E-03          544.699E-03         14.0465E+03 
                1.75001E-03      560.73E-03          13.989E+03  
                1.80001E-03      576.763E-03         13.9302E+03 
                1.85001E-03      592.794E-03         13.8695E+03 
                1.90001E-03      608.826E-03         13.8068E+03 
                1.95E-03         624.854E-03         13.7422E+03 
                2.00001E-03      640.743E-03         13.6764E+03 
                2.05E-03         656.616E-03         13.609E+03  
                2.1E-03          672.494E-03         13.5397E+03 
                2.15001E-03      688.372E-03         13.4685E+03 
                2.20001E-03      704.25E-03          13.3954E+03 
                2.25001E-03      720.127E-03         13.3203E+03 
                2.3E-03          736.001E-03         13.2434E+03 
                2.35E-03         751.879E-03         13.1645E+03 
                2.40001E-03      767.757E-03         13.0835E+03 
                2.45001E-03      783.634E-03         13.0004E+03 
                2.5E-03          799.508E-03         12.9153E+03 
                2.55E-03         815.387E-03         12.8281E+03 
                2.60001E-03      831.265E-03         12.7389E+03 
                2.65001E-03      847.142E-03         12.6476E+03 
                2.70001E-03      863.019E-03         12.5541E+03 
                2.75E-03         878.894E-03         12.4584E+03 
                2.8E-03          894.772E-03         12.3605E+03 
                2.85001E-03      910.649E-03         12.2605E+03 
                2.90001E-03      926.528E-03         12.1582E+03 
                2.95E-03         942.402E-03         12.0538E+03 
                3.E-03           958.279E-03         11.9471E+03 
                3.05001E-03      974.156E-03         11.838E+03  
                3.10001E-03      990.035E-03         11.7267E+03 
                3.15E-03           1.00593           11.6127E+03 
                3.2E-03            1.02195           11.4957E+03 
                3.25001E-03        1.03795           11.3763E+03 
                3.3E-03            1.05392           11.2547E+03 
                3.35001E-03        1.06992           11.1303E+03 
                3.4E-03            1.08594           11.0033E+03 
                3.45001E-03        1.10194           10.8739E+03 
                3.5E-03            1.11791           10.7422E+03 
                3.55001E-03        1.13389           10.6079E+03 
                3.6E-03            1.14992           10.4707E+03 
                3.65E-03           1.16593           10.3312E+03 
                3.7E-03            1.18191           10.1895E+03 
                3.75E-03           1.19786           10.0458E+03 
                3.80001E-03        1.21391            9.89897E+03
                3.85E-03           1.22992            9.75035E+03
                3.9E-03            1.2459             9.60019E+03
                3.95001E-03        1.26201            9.44723E+03
                4.E-03             1.27812            9.29295E+03
                4.05E-03           1.29395            9.1403E+03 
                4.1E-03            1.31004            8.98355E+03
                4.15001E-03        1.32611            8.82638E+03
                4.20001E-03        1.3419             8.67178E+03
                4.25E-03           1.358              8.51473E+03
                4.30001E-03        1.37418            8.35807E+03
                4.35001E-03        1.39               8.20546E+03
                4.40001E-03        1.40585            8.05436E+03
                4.45001E-03        1.42214            7.90139E+03
                4.5E-03            1.43814            7.75338E+03
                4.55E-03           1.45381            7.61033E+03
                4.6E-03            1.46999            7.46625E+03
                4.65E-03           1.4862             7.32486E+03
                4.7E-03            1.50208            7.18931E+03
                4.75001E-03        1.51782            7.05945E+03
                4.8E-03            1.53395            6.92919E+03
                4.85E-03           1.55019            6.8026E+03 
                4.90001E-03        1.56619            6.68219E+03
                4.95E-03           1.58187            6.56777E+03
                5.E-03             1.59777            6.45689E+03




