
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.73086E+03
              100.012E-06         32.0044E-03         3.53482E+03
              150.001E-06         47.9975E-03         5.09007E+03
              200.004E-06         63.9906E-03         6.55835E+03
              250.007E-06         79.9837E-03         8.36169E+03
              300.009E-06         95.9768E-03         9.53785E+03
              350.E-06           111.966E-03         10.751E+03  
              400.003E-06        127.959E-03         11.5649E+03 
              450.005E-06        143.952E-03         12.3217E+03 
              500.004E-06        159.953E-03         12.8461E+03 
              550.005E-06        175.985E-03         13.0424E+03 
              600.007E-06        192.016E-03         13.0476E+03 
              650.008E-06        208.048E-03         13.0194E+03 
              700.01E-06         224.079E-03         12.9875E+03 
              750.011E-06        240.111E-03         12.9522E+03 
              800.001E-06        256.139E-03         12.9174E+03 
              850.003E-06        272.17E-03          12.8785E+03 
              900.004E-06        288.202E-03         12.8394E+03 
              950.006E-06        304.234E-03         12.8007E+03 
                1.00001E-03      320.265E-03         12.762E+03  
                1.05001E-03      336.296E-03         12.7203E+03 
                1.10001E-03      352.328E-03         12.6786E+03 
                1.15E-03         368.356E-03         12.6376E+03 
                1.2E-03          384.387E-03         12.5943E+03 
                1.25E-03         400.419E-03         12.5499E+03 
                1.3E-03          416.451E-03         12.5058E+03 
                1.35001E-03      432.482E-03         12.461E+03  
                1.40001E-03      448.513E-03         12.4144E+03 
                1.45001E-03      464.545E-03         12.3668E+03 
                1.50001E-03      480.577E-03         12.3186E+03 
                1.55E-03         496.605E-03         12.269E+03  
                1.6E-03          512.636E-03         12.2172E+03 
                1.65E-03         528.668E-03         12.1639E+03 
                1.7E-03          544.699E-03         12.1094E+03 
                1.75001E-03      560.73E-03          12.0532E+03 
                1.80001E-03      576.763E-03         11.9952E+03 
                1.85001E-03      592.794E-03         11.9353E+03 
                1.90001E-03      608.826E-03         11.874E+03  
                1.95E-03         624.854E-03         11.8109E+03 
                2.00001E-03      640.743E-03         11.7467E+03 
                2.05E-03         656.616E-03         11.6806E+03 
                2.1E-03          672.494E-03         11.6127E+03 
                2.15001E-03      688.372E-03         11.5432E+03 
                2.20001E-03      704.25E-03          11.4718E+03 
                2.25001E-03      720.127E-03         11.3986E+03 
                2.3E-03          736.001E-03         11.3235E+03 
                2.35E-03         751.88E-03          11.2466E+03 
                2.40001E-03      767.757E-03         11.1677E+03 
                2.45001E-03      783.634E-03         11.087E+03  
                2.5E-03          799.508E-03         11.0045E+03 
                2.55E-03         815.387E-03         10.92E+03   
                2.60001E-03      831.265E-03         10.8336E+03 
                2.65001E-03      847.142E-03         10.7453E+03 
                2.70001E-03      863.021E-03         10.6551E+03 
                2.75E-03         878.895E-03         10.5629E+03 
                2.8E-03          894.772E-03         10.4687E+03 
                2.85001E-03      910.649E-03         10.3725E+03 
                2.90001E-03      926.528E-03         10.2744E+03 
                2.95E-03         942.433E-03         10.1741E+03 
                3.E-03           958.458E-03         10.0709E+03 
                3.05001E-03      974.461E-03          9.96586E+03
                3.1E-03          990.444E-03          9.85882E+03
                3.15001E-03        1.00643            9.74982E+03
                3.20001E-03        1.02247            9.63821E+03
                3.25E-03           1.03849            9.52461E+03
                3.3E-03            1.05448            9.40904E+03
                3.35E-03           1.07046            9.29153E+03
                3.40001E-03        1.08646            9.1717E+03 
                3.45E-03           1.10248            9.04962E+03
                3.5E-03            1.11848            8.92574E+03
                3.55E-03           1.13445            8.80013E+03
                3.6E-03            1.15043            8.67271E+03
                3.65001E-03        1.16646            8.54315E+03
                3.7E-03            1.18246            8.41232E+03
                3.75001E-03        1.19841            8.28058E+03
                3.80001E-03        1.21444            8.14721E+03
                3.85E-03           1.23048            8.01294E+03
                3.9E-03            1.24646            7.87855E+03
                3.95E-03           1.26246            7.74321E+03
                4.00001E-03        1.27816            7.6101E+03 
                4.05001E-03        1.2944             7.47283E+03
                4.1E-03            1.31049            7.33782E+03
                4.15E-03           1.3263             7.20634E+03
                4.2E-03            1.34231            7.07409E+03
                4.25E-03           1.3585             6.94229E+03
                4.30001E-03        1.37446            6.81479E+03
                4.35001E-03        1.39006            6.69144E+03
                4.4E-03            1.40639            6.56509E+03
                4.45001E-03        1.42259            6.44302E+03
                4.5E-03            1.43838            6.32575E+03
                4.55E-03           1.454              6.21329E+03
                4.6E-03            1.47042            6.0983E+03 
                4.65E-03           1.48654            5.98834E+03
                4.7E-03            1.50254            5.88365E+03
                4.75001E-03        1.5181             5.78401E+03
                4.8E-03            1.53426            5.6853E+03 
                4.85E-03           1.55051            5.58858E+03
                4.90001E-03        1.56665            5.49721E+03
                4.95E-03           1.5824             5.41069E+03
                5.E-03             1.59808            5.32875E+03




