"displacement,mm","force,kN","force,N"
0.0,0.00877679,8.77679
0.0159997,1.7308599999999998,1730.86
0.0320044,3.5348200000000003,3534.82
0.0479975,5.09007,5090.07
0.0639906,6.56837,6568.37
0.0799837,8.4822,8482.2
0.0959768,9.37808,9378.08
0.111966,9.610040000000001,9610.04
0.127959,9.57473,9574.73
0.143952,9.541120000000001,9541.12
0.159953,9.53926,9539.26
0.175985,9.51636,9516.36
0.192016,9.47315,9473.15
0.208048,9.43891,9438.91
0.224079,9.42262,9422.62
0.240111,9.39701,9397.01
0.256139,9.359219999999999,9359.22
0.27217,9.328629999999999,9328.63
0.288202,9.308290000000001,9308.29
0.304234,9.278780000000001,9278.78
0.320265,9.24138,9241.38
0.336296,9.20903,9209.03
0.352328,9.18271,9182.71
0.368356,9.15039,9150.39
0.384387,9.11275,9112.75
0.400419,9.0782,9078.2
0.416451,9.04796,9047.96
0.432482,9.01327,9013.27
0.448513,8.97476,8974.76
0.464545,8.93834,8938.34
0.480577,8.90475,8904.75
0.496605,8.86763,8867.63
0.512636,8.82653,8826.53
0.528668,8.78585,8785.85
0.544699,8.74822,8748.22
0.56073,8.70817,8708.17
0.576763,8.66415,8664.15
0.592794,8.61982,8619.82
0.608826,8.57621,8576.21
0.624854,8.53176,8531.76
0.640743,8.4845,8484.5
0.656616,8.43519,8435.19
0.672494,8.38631,8386.31
0.688372,8.33705,8337.05
0.70425,8.28565,8285.65
0.720127,8.23167,8231.67
0.736001,8.17644,8176.44
0.751879,8.12045,8120.45
0.767757,8.06361,8063.61
0.783634,8.00525,8005.25
0.799508,7.94519,7945.19
0.815387,7.8833400000000005,7883.34
0.831265,7.81996,7819.96
0.847142,7.75518,7755.18
0.863037,7.6889899999999995,7688.99
0.879052,7.6211,7621.1
0.895051,7.5518,7551.8
0.91103,7.48119,7481.19
0.927013,7.409140000000001,7409.14
0.943043,7.33534,7335.34
0.959057,7.260260000000001,7260.26
0.975048,7.1838500000000005,7183.85
0.99102,7.106020000000001,7106.02
1.00706,7.026689999999999,7026.69
1.02308,6.94579,6945.79
1.03908,6.8636099999999995,6863.61
1.05506,6.780270000000001,6780.27
1.07101,6.69571,6695.71
1.08706,6.609430000000001,6609.43
1.10307,6.52215,6522.15
1.11904,6.4339200000000005,6433.92
1.135,6.3448,6344.8
1.15105,6.254270000000001,6254.27
1.16706,6.1631800000000005,6163.18
1.18301,6.07193,6071.93
1.1991,5.97926,5979.26
1.21506,5.8867,5886.7
1.23099,5.7942,5794.2
1.24707,5.7009,5700.9
1.26338,5.60666,5606.66
1.27938,5.514220000000001,5514.22
1.2951,5.42378,5423.78
1.31122,5.3321000000000005,5332.1
1.32743,5.2404399999999995,5240.44
1.34332,5.15112,5151.12
1.35902,5.06441,5064.41
1.37524,4.97561,4975.61
1.39143,4.88863,4888.63
1.40743,4.80485,4804.85
1.423,4.72421,4724.21
1.43916,4.64341,4643.41
1.45541,4.56364,4563.64
1.47149,4.48735,4487.35
1.48725,4.41438,4414.38
1.50282,4.34475,4344.75
1.51917,4.27366,4273.66
1.53551,4.2053400000000005,4205.34
1.55146,4.14063,4140.63
1.56693,4.07993,4079.93
1.5824,4.02144,4021.44
1.59862,3.963,3963.0
