"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.133656,133.656
0.03599,0.599326,599.326
0.0539531,1.00942,1009.42
0.071938,1.3016400000000001,1301.64
0.0899438,1.88705,1887.05
0.107949,2.21589,2215.89
0.125951,2.33249,2332.49
0.14387,2.4987600000000003,2498.76
0.161791,2.6009800000000003,2600.98
0.179768,2.9064099999999997,2906.41
0.197929,3.22497,3224.97
0.216092,3.21701,3217.01
0.234254,3.20763,3207.63
0.252404,3.3291999999999997,3329.2
0.270393,3.34743,3347.43
0.288382,3.4053400000000003,3405.34
0.306372,3.46208,3462.08
0.324361,3.4620100000000003,3462.01
0.34235,3.47966,3479.66
0.360117,3.50894,3508.94
0.378284,3.53708,3537.08
0.39672,3.53908,3539.08
0.414248,3.55464,3554.64
0.43223,3.55737,3557.37
0.450274,3.5625999999999998,3562.6
0.468689,3.58621,3586.21
0.486736,3.5982600000000002,3598.26
0.504703,3.60734,3607.34
0.522764,3.6133400000000004,3613.34
0.540787,3.61994,3619.94
0.558619,3.63149,3631.49
0.576494,3.64112,3641.12
0.594862,3.64399,3643.99
0.613502,3.6531100000000003,3653.11
0.631678,3.65851,3658.51
0.649609,3.66719,3667.19
0.66753,3.67279,3672.79
0.68545,3.68119,3681.19
0.703369,3.68529,3685.29
0.722489,3.69181,3691.81
0.741689,3.6988000000000003,3698.8
0.760286,3.70437,3704.37
0.778572,3.70968,3709.68
0.796859,3.7166,3716.6
0.815144,3.72133,3721.33
0.832928,3.72744,3727.44
0.850304,3.7303,3730.3
0.867676,3.7363600000000003,3736.36
0.885047,3.7404800000000002,3740.48
0.90229,3.74468,3744.68
0.919018,3.74866,3748.66
0.937554,3.7534,3753.4
0.956749,3.7582,3758.2
0.975949,3.76384,3763.84
0.995149,3.76674,3766.74
1.0143,3.77163,3771.63
1.03276,3.77619,3776.19
1.05196,3.7811100000000004,3781.11
1.07116,3.78406,3784.06
1.09036,3.79014,3790.14
1.10863,3.7933499999999998,3793.35
1.12621,3.7966900000000003,3796.69
1.14344,3.80277,3802.77
1.1605,3.80722,3807.22
1.17757,3.80923,3809.23
1.19464,3.8152500000000003,3815.25
1.21175,3.82054,3820.54
1.22906,3.82111,3821.11
1.24797,3.8289299999999997,3828.93
1.26717,3.83211,3832.11
1.28636,3.83536,3835.36
1.30557,3.8402600000000002,3840.26
1.32477,3.84525,3845.25
1.34396,3.8490900000000003,3849.09
1.36317,3.85209,3852.09
1.38237,3.8581100000000004,3858.11
1.40157,3.86337,3863.37
1.42077,3.86916,3869.16
1.43996,3.8736300000000004,3873.63
1.45917,3.87806,3878.06
1.47837,3.88333,3883.33
1.49757,3.88586,3885.86
1.51676,3.88756,3887.56
1.53597,3.8907800000000003,3890.78
1.55517,3.89909,3899.09
1.57436,3.90198,3901.98
1.59357,3.9040100000000004,3904.01
1.61276,3.90526,3905.26
1.63197,3.9061700000000004,3906.17
1.65117,3.9153800000000003,3915.38
1.67036,3.91689,3916.89
1.68957,3.91691,3916.91
1.70876,3.9154,3915.4
1.72797,3.92374,3923.74
1.74716,3.93031,3930.31
1.76509,3.92706,3927.06
1.78217,3.92724,3927.24
1.79923,3.92433,3924.33
1.8163,3.9215700000000004,3921.57
1.83337,3.9154400000000003,3915.44
