
                  X             Displacement          Force      

                0.                 0.                12.3148     
               50.002E-06         18.0057E-03       133.656      
              100.E-06            35.99E-03         599.326      
              150.001E-06         53.9531E-03         1.00942E+03
              200.E-06            71.938E-03          1.30164E+03
              250.001E-06         89.9438E-03         1.88705E+03
              300.E-06           107.949E-03          2.21589E+03
              350.001E-06        125.951E-03          2.33249E+03
              400.E-06           143.87E-03           2.49876E+03
              450.001E-06        161.791E-03          2.60098E+03
              500.001E-06        179.768E-03          2.90641E+03
              550.001E-06        197.929E-03          3.22497E+03
              600.001E-06        216.092E-03          3.21701E+03
              650.001E-06        234.254E-03          3.20763E+03
              700.001E-06        252.404E-03          3.3292E+03 
              750.001E-06        270.393E-03          3.34743E+03
              800.001E-06        288.382E-03          3.40534E+03
              850.001E-06        306.372E-03          3.46208E+03
              900.E-06           324.361E-03          3.46201E+03
              950.E-06           342.35E-03           3.47966E+03
                1.E-03           360.117E-03          3.50894E+03
                1.05E-03         378.284E-03          3.53708E+03
                1.1E-03          396.72E-03           3.53908E+03
                1.15E-03         414.248E-03          3.55464E+03
                1.2E-03          432.23E-03           3.55737E+03
                1.25E-03         450.274E-03          3.5626E+03 
                1.3E-03          468.689E-03          3.58621E+03
                1.35E-03         486.736E-03          3.59826E+03
                1.4E-03          504.703E-03          3.60734E+03
                1.45E-03         522.764E-03          3.61334E+03
                1.5E-03          540.787E-03          3.61994E+03
                1.55E-03         558.619E-03          3.63149E+03
                1.6E-03          576.494E-03          3.64112E+03
                1.65E-03         594.862E-03          3.64399E+03
                1.7E-03          613.502E-03          3.65311E+03
                1.75E-03         631.678E-03          3.65851E+03
                1.8E-03          649.609E-03          3.66719E+03
                1.85E-03         667.53E-03           3.67279E+03
                1.9E-03          685.45E-03           3.68119E+03
                1.95E-03         703.369E-03          3.68529E+03
                2.E-03           722.489E-03          3.69181E+03
                2.05E-03         741.689E-03          3.6988E+03 
                2.1E-03          760.286E-03          3.70437E+03
                2.15E-03         778.572E-03          3.70968E+03
                2.2E-03          796.859E-03          3.7166E+03 
                2.25E-03         815.144E-03          3.72133E+03
                2.3E-03          832.928E-03          3.72744E+03
                2.35E-03         850.304E-03          3.7303E+03 
                2.4E-03          867.676E-03          3.73636E+03
                2.45E-03         885.047E-03          3.74048E+03
                2.5E-03          902.29E-03           3.74468E+03
                2.55E-03         919.018E-03          3.74866E+03
                2.6E-03          937.554E-03          3.7534E+03 
                2.65E-03         956.749E-03          3.7582E+03 
                2.7E-03          975.949E-03          3.76384E+03
                2.75E-03         995.149E-03          3.76674E+03
                2.8E-03            1.0143             3.77163E+03
                2.85E-03           1.03276            3.77619E+03
                2.9E-03            1.05196            3.78111E+03
                2.95E-03           1.07116            3.78406E+03
                3.E-03             1.09036            3.79014E+03
                3.05E-03           1.10863            3.79335E+03
                3.1E-03            1.12621            3.79669E+03
                3.15E-03           1.14344            3.80277E+03
                3.2E-03            1.1605             3.80722E+03
                3.25E-03           1.17757            3.80923E+03
                3.3E-03            1.19464            3.81525E+03
                3.35E-03           1.21175            3.82054E+03
                3.4E-03            1.22906            3.82111E+03
                3.45E-03           1.24797            3.82893E+03
                3.5E-03            1.26717            3.83211E+03
                3.55E-03           1.28636            3.83536E+03
                3.6E-03            1.30557            3.84026E+03
                3.65E-03           1.32477            3.84525E+03
                3.7E-03            1.34396            3.84909E+03
                3.75E-03           1.36317            3.85209E+03
                3.8E-03            1.38237            3.85811E+03
                3.85E-03           1.40157            3.86337E+03
                3.9E-03            1.42077            3.86916E+03
                3.95E-03           1.43996            3.87363E+03
                4.E-03             1.45917            3.87806E+03
                4.05E-03           1.47837            3.88333E+03
                4.1E-03            1.49757            3.88586E+03
                4.15E-03           1.51676            3.88756E+03
                4.2E-03            1.53597            3.89078E+03
                4.25E-03           1.55517            3.89909E+03
                4.3E-03            1.57436            3.90198E+03
                4.35E-03           1.59357            3.90401E+03
                4.4E-03            1.61276            3.90526E+03
                4.45E-03           1.63197            3.90617E+03
                4.5E-03            1.65117            3.91538E+03
                4.55E-03           1.67036            3.91689E+03
                4.6E-03            1.68957            3.91691E+03
                4.65E-03           1.70876            3.9154E+03 
                4.7E-03            1.72797            3.92374E+03
                4.75E-03           1.74716            3.93031E+03
                4.8E-03            1.76509            3.92706E+03
                4.85E-03           1.78217            3.92724E+03
                4.9E-03            1.79923            3.92433E+03
                4.95E-03           1.8163             3.92157E+03
                5.E-03             1.83337            3.91544E+03




