"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.12246800000000001,122.468
0.0359901,0.525828,525.828
0.0539532,0.8576860000000001,857.686
0.0719355,1.0883,1088.3
0.0898558,1.10178,1101.78
0.107803,0.968852,968.852
0.125736,1.0691199999999998,1069.12
0.143826,1.10937,1109.37
0.161926,1.06436,1064.36
0.179916,1.13393,1133.93
0.197933,1.09877,1098.77
0.216096,1.09087,1090.87
0.234233,1.1191600000000002,1119.16
0.252188,1.1085,1108.5
0.270192,1.1342,1134.2
0.287997,1.14008,1140.08
0.305998,1.12782,1127.82
0.323997,1.14327,1143.27
0.341998,1.15052,1150.52
0.359999,1.1479700000000002,1147.97
0.377774,1.15752,1157.52
0.395374,1.15629,1156.29
0.412975,1.16533,1165.33
0.430574,1.1665,1166.5
0.448174,1.1724,1172.4
0.465774,1.1742000000000001,1174.2
0.483374,1.1793900000000002,1179.39
0.500974,1.1812500000000001,1181.25
0.518574,1.18722,1187.22
0.5368,1.18857,1188.57
0.555573,1.19201,1192.01
0.574268,1.1966800000000002,1196.68
0.592359,1.20069,1200.69
0.610301,1.20263,1202.63
0.62822,1.20645,1206.45
0.646141,1.21002,1210.02
0.66406,1.21225,1212.25
0.681976,1.21618,1216.18
0.699518,1.21831,1218.31
0.717744,1.2221,1222.1
0.736033,1.22543,1225.43
0.754319,1.22768,1227.68
0.772605,1.2306400000000002,1230.64
0.790878,1.23406,1234.06
0.80832,1.2361199999999999,1236.12
0.825772,1.2393800000000001,1239.38
0.843145,1.24183,1241.83
0.860516,1.24417,1244.17
0.877861,1.24701,1247.01
0.894493,1.24964,1249.64
0.911739,1.2518699999999998,1251.87
0.930497,1.25438,1254.38
0.949687,1.2574400000000001,1257.44
0.968884,1.2597,1259.7
0.988082,1.26241,1262.41
1.00728,1.26506,1265.06
1.02577,1.26719,1267.19
1.04466,1.26954,1269.54
1.06386,1.27199,1271.99
1.08306,1.27447,1274.47
1.10226,1.27731,1277.31
1.12146,1.2792000000000001,1279.2
1.1393,1.28217,1282.17
1.15654,1.2847300000000001,1284.73
1.17376,1.28554,1285.54
1.19096,1.28844,1288.44
1.20802,1.29284,1292.84
1.22509,1.2927899999999999,1292.79
1.24222,1.2975999999999999,1297.6
1.25929,1.29956,1299.56
1.27636,1.30032,1300.32
1.29347,1.3038800000000001,1303.88
1.31216,1.30687,1306.87
1.33136,1.30821,1308.21
1.35056,1.31111,1311.11
1.36976,1.3138900000000002,1313.89
1.38895,1.31528,1315.28
1.40816,1.31729,1317.29
1.42736,1.32137,1321.37
1.44656,1.32041,1320.41
1.46576,1.3248499999999999,1324.85
1.48496,1.32603,1326.03
1.50416,1.32966,1329.66
1.52336,1.33153,1331.53
1.54256,1.33502,1335.02
1.56175,1.33742,1337.42
1.58096,1.3393800000000002,1339.38
1.60016,1.34024,1340.24
1.61935,1.34246,1342.46
1.63856,1.3472300000000001,1347.23
1.65775,1.3457000000000001,1345.7
1.67696,1.34859,1348.59
1.69615,1.35058,1350.58
1.71536,1.3551199999999999,1355.12
1.73456,1.35731,1357.31
1.75375,1.3618599999999998,1361.86
1.77296,1.36137,1361.37
1.79215,1.365,1365.0
1.81136,1.3644200000000002,1364.42
1.83056,1.36679,1366.79
