
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.73086E+03
              100.012E-06         32.0044E-03         3.53482E+03
              150.001E-06         47.9975E-03         5.09007E+03
              200.004E-06         63.9906E-03         6.56837E+03
              250.007E-06         79.9837E-03         8.55908E+03
              300.009E-06         95.9768E-03        10.3018E+03 
              350.E-06           111.966E-03         11.7183E+03 
              400.003E-06        127.959E-03         13.4923E+03 
              450.005E-06        143.952E-03         14.7535E+03 
              500.004E-06        159.953E-03         15.873E+03  
              550.005E-06        175.985E-03         16.9908E+03 
              600.007E-06        192.016E-03         17.9968E+03 
              650.008E-06        208.048E-03         18.7345E+03 
              700.01E-06         224.079E-03         19.4812E+03 
              750.011E-06        240.111E-03         20.2039E+03 
              800.001E-06        256.139E-03         20.8793E+03 
              850.003E-06        272.17E-03          21.4388E+03 
              900.004E-06        288.202E-03         21.8997E+03 
              950.006E-06        304.234E-03         22.4017E+03 
                1.00001E-03      320.265E-03         22.7284E+03 
                1.05001E-03      336.296E-03         23.0783E+03 
                1.10001E-03      352.328E-03         23.2908E+03 
                1.15E-03         368.356E-03         23.4506E+03 
                1.2E-03          384.387E-03         23.5495E+03 
                1.25E-03         400.419E-03         23.5779E+03 
                1.3E-03          416.451E-03         23.5698E+03 
                1.35001E-03      432.482E-03         23.5416E+03 
                1.40001E-03      448.513E-03         23.5039E+03 
                1.45001E-03      464.545E-03         23.4578E+03 
                1.50001E-03      480.577E-03         23.4093E+03 
                1.55E-03         496.605E-03         23.3586E+03 
                1.6E-03          512.636E-03         23.3055E+03 
                1.65E-03         528.668E-03         23.2507E+03 
                1.7E-03          544.699E-03         23.1952E+03 
                1.75001E-03      560.73E-03          23.1385E+03 
                1.80001E-03      576.763E-03         23.0802E+03 
                1.85001E-03      592.794E-03         23.0205E+03 
                1.90001E-03      608.826E-03         22.9598E+03 
                1.95E-03         624.854E-03         22.8982E+03 
                2.00001E-03      640.743E-03         22.8359E+03 
                2.05E-03         656.616E-03         22.7727E+03 
                2.1E-03          672.494E-03         22.7084E+03 
                2.15001E-03      688.372E-03         22.6429E+03 
                2.20001E-03      704.25E-03          22.5762E+03 
                2.25001E-03      720.127E-03         22.5085E+03 
                2.3E-03          736.001E-03         22.4395E+03 
                2.35E-03         751.879E-03         22.3694E+03 
                2.40001E-03      767.757E-03         22.2979E+03 
                2.45001E-03      783.634E-03         22.2253E+03 
                2.5E-03          799.508E-03         22.1513E+03 
                2.55E-03         815.387E-03         22.0759E+03 
                2.60001E-03      831.265E-03         21.999E+03  
                2.65001E-03      847.142E-03         21.9206E+03 
                2.70001E-03      863.019E-03         21.8406E+03 
                2.75E-03         878.894E-03         21.7589E+03 
                2.8E-03          894.772E-03         21.6754E+03 
                2.85001E-03      910.649E-03         21.59E+03   
                2.90001E-03      926.528E-03         21.5026E+03 
                2.95E-03         942.402E-03         21.413E+03  
                3.E-03           958.279E-03         21.3213E+03 
                3.05001E-03      974.156E-03         21.2271E+03 
                3.10001E-03      990.035E-03         21.1306E+03 
                3.15001E-03        1.00602           21.0315E+03 
                3.2E-03            1.02202           20.9299E+03 
                3.25E-03           1.03784           20.8254E+03 
                3.30001E-03        1.0536            20.718E+03  
                3.35001E-03        1.06935           20.6078E+03 
                3.4E-03            1.0851            20.4944E+03 
                3.45E-03           1.10086           20.3779E+03 
                3.50001E-03        1.11661           20.258E+03  
                3.55001E-03        1.13253           20.1343E+03 
                3.60001E-03        1.14855           20.0063E+03 
                3.65001E-03        1.16456           19.8746E+03 
                3.70001E-03        1.18057           19.7391E+03 
                3.75E-03           1.19656           19.5996E+03 
                3.8E-03            1.21256           19.4561E+03 
                3.85001E-03        1.22855           19.3084E+03 
                3.90001E-03        1.24453           19.1564E+03 
                3.95001E-03        1.26057           18.9995E+03 
                4.00001E-03        1.27647           18.8393E+03 
                4.05001E-03        1.29259           18.672E+03  
                4.10001E-03        1.30838           18.5036E+03 
                4.15E-03           1.32457           18.3261E+03 
                4.20001E-03        1.34047           18.1472E+03 
                4.25E-03           1.35651           17.962E+03  
                4.30001E-03        1.37255           17.7722E+03 
                4.35E-03           1.38839           17.5802E+03 
                4.4E-03            1.40459           17.3795E+03 
                4.45E-03           1.42043           17.1788E+03 
                4.5E-03            1.43653           16.9707E+03 
                4.55001E-03        1.45258           16.759E+03  
                4.60001E-03        1.46831           16.5482E+03 
                4.65E-03           1.48461           16.326E+03  
                4.7E-03            1.50061           16.1047E+03 
                4.75E-03           1.51629           15.8841E+03 
                4.8E-03            1.5326            15.652E+03  
                4.85001E-03        1.54857           15.4224E+03 
                4.9E-03            1.56424           15.1954E+03 
                4.95E-03           1.58063           14.9564E+03 
                5.E-03             1.59664           14.7198E+03 




