
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.53477E+03
              100.005E-06         32.0005E-03         1.94285E+03
              150.011E-06         47.999E-03          2.07915E+03
              200.008E-06         63.9901E-03         2.1885E+03 
              250.005E-06         79.9811E-03         2.23186E+03
              300.002E-06         95.9722E-03         2.24238E+03
              350.011E-06        111.967E-03          2.24986E+03
              400.008E-06        127.958E-03          2.26798E+03
              450.005E-06        143.949E-03          2.28942E+03
              500.008E-06        159.951E-03          2.30511E+03
              550.008E-06        175.983E-03          2.31387E+03
              600.008E-06        192.016E-03          2.32282E+03
              650.009E-06        208.048E-03          2.33566E+03
              700.009E-06        224.08E-03           2.35028E+03
              750.009E-06        240.112E-03          2.36269E+03
              800.01E-06         256.16E-03           2.37182E+03
              850.01E-06         272.224E-03          2.37985E+03
              900.011E-06        288.288E-03          2.38876E+03
              950.011E-06        304.352E-03          2.39938E+03
                1.00001E-03      320.417E-03          2.41031E+03
                1.05E-03         336.477E-03          2.41988E+03
                1.1E-03          352.541E-03          2.42847E+03
                1.15E-03         368.605E-03          2.43632E+03
                1.2E-03          384.669E-03          2.44414E+03
                1.25E-03         400.734E-03          2.45209E+03
                1.3E-03          416.798E-03          2.46017E+03
                1.35E-03         432.861E-03          2.46816E+03
                1.4E-03          448.926E-03          2.47595E+03
                1.45E-03         464.99E-03           2.48351E+03
                1.5E-03          481.054E-03          2.49087E+03
                1.55E-03         497.116E-03          2.49805E+03
                1.6E-03          513.117E-03          2.50506E+03
                1.65E-03         529.117E-03          2.51194E+03
                1.70001E-03      545.117E-03          2.51876E+03
                1.75001E-03      561.117E-03          2.52548E+03
                1.80001E-03      577.118E-03          2.53205E+03
                1.85001E-03      593.117E-03          2.53848E+03
                1.90001E-03      609.118E-03          2.54484E+03
                1.95001E-03      625.118E-03          2.55106E+03
                2.00001E-03      641.118E-03          2.55722E+03
                2.05001E-03      657.118E-03          2.56323E+03
                2.10001E-03      673.119E-03          2.5692E+03 
                2.15001E-03      689.119E-03          2.57507E+03
                2.20001E-03      705.119E-03          2.58084E+03
                2.25001E-03      721.119E-03          2.58652E+03
                2.30001E-03      737.119E-03          2.59212E+03
                2.35001E-03      753.119E-03          2.59765E+03
                2.40001E-03      769.203E-03          2.6031E+03 
                2.45001E-03      785.331E-03          2.60847E+03
                2.50001E-03      801.459E-03          2.61378E+03
                2.55E-03         817.582E-03          2.619E+03  
                2.6E-03          833.711E-03          2.62416E+03
                2.65E-03         849.839E-03          2.62926E+03
                2.7E-03          865.967E-03          2.63429E+03
                2.75E-03         882.095E-03          2.63926E+03
                2.8E-03          898.224E-03          2.64416E+03
                2.85E-03         914.352E-03          2.64901E+03
                2.9E-03          930.48E-03           2.65379E+03
                2.95E-03         946.609E-03          2.65852E+03
                3.E-03           962.735E-03          2.66319E+03
                3.05E-03         978.864E-03          2.6678E+03 
                3.1E-03          994.992E-03          2.67236E+03
                3.15E-03           1.01112            2.67688E+03
                3.20001E-03        1.02725            2.68133E+03
                3.25001E-03        1.04338            2.68573E+03
                3.30001E-03        1.05951            2.69009E+03
                3.35001E-03        1.07563            2.6944E+03 
                3.40001E-03        1.09176            2.69866E+03
                3.45001E-03        1.10789            2.70287E+03
                3.50001E-03        1.12402            2.70704E+03
                3.55001E-03        1.14014            2.71116E+03
                3.6E-03            1.15602            2.71518E+03
                3.65E-03           1.17183            2.71914E+03
                3.70001E-03        1.18765            2.72305E+03
                3.75001E-03        1.20346            2.72692E+03
                3.8E-03            1.21927            2.73076E+03
                3.85E-03           1.23508            2.73457E+03
                3.90001E-03        1.25089            2.73831E+03
                3.95E-03           1.26698            2.7421E+03 
                4.E-03             1.28311            2.74585E+03
                4.05E-03           1.29924            2.74956E+03
                4.1E-03            1.31537            2.75324E+03
                4.15E-03           1.33149            2.75688E+03
                4.2E-03            1.34762            2.76048E+03
                4.25E-03           1.36375            2.76404E+03
                4.3E-03            1.37988            2.76758E+03
                4.35E-03           1.39601            2.77107E+03
                4.4E-03            1.41232            2.77453E+03
                4.45E-03           1.4287             2.77797E+03
                4.5E-03            1.44509            2.78137E+03
                4.55E-03           1.46086            2.78463E+03
                4.60001E-03        1.47662            2.78785E+03
                4.65001E-03        1.49237            2.79105E+03
                4.70001E-03        1.50813            2.79422E+03
                4.75E-03           1.52388            2.79735E+03
                4.8E-03            1.53963            2.80045E+03
                4.85001E-03        1.55539            2.80352E+03
                4.90001E-03        1.57114            2.80656E+03
                4.95E-03           1.58689            2.80957E+03
                5.E-03             1.60265            2.81254E+03




