
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.73086E+03
              100.012E-06         32.0044E-03         3.53482E+03
              150.001E-06         47.9975E-03         5.09007E+03
              200.004E-06         63.9906E-03         6.56837E+03
              250.007E-06         79.9837E-03         8.43359E+03
              300.009E-06         95.9768E-03         9.37034E+03
              350.E-06           111.966E-03         10.1018E+03 
              400.003E-06        127.959E-03         10.5213E+03 
              450.005E-06        143.952E-03         10.7642E+03 
              500.004E-06        159.953E-03         10.8881E+03 
              550.005E-06        175.985E-03         11.0043E+03 
              600.007E-06        192.016E-03         11.0853E+03 
              650.008E-06        208.048E-03         11.1532E+03 
              700.01E-06         224.079E-03         11.2124E+03 
              750.011E-06        240.111E-03         11.2705E+03 
              800.001E-06        256.139E-03         11.3317E+03 
              850.003E-06        272.17E-03          11.378E+03  
              900.004E-06        288.202E-03         11.4337E+03 
              950.006E-06        304.234E-03         11.478E+03  
                1.00001E-03      320.265E-03         11.5282E+03 
                1.05001E-03      336.296E-03         11.5709E+03 
                1.10001E-03      352.328E-03         11.6138E+03 
                1.15E-03         368.356E-03         11.6576E+03 
                1.2E-03          384.387E-03         11.6989E+03 
                1.25E-03         400.419E-03         11.7366E+03 
                1.3E-03          416.451E-03         11.7748E+03 
                1.35001E-03      432.482E-03         11.8136E+03 
                1.40001E-03      448.513E-03         11.851E+03  
                1.45001E-03      464.545E-03         11.8869E+03 
                1.50001E-03      480.577E-03         11.9206E+03 
                1.55E-03         496.605E-03         11.9542E+03 
                1.6E-03          512.636E-03         11.9876E+03 
                1.65E-03         528.668E-03         12.02E+03   
                1.7E-03          544.699E-03         12.0517E+03 
                1.75001E-03      560.73E-03          12.083E+03  
                1.80001E-03      576.763E-03         12.1139E+03 
                1.85001E-03      592.794E-03         12.1441E+03 
                1.90001E-03      608.826E-03         12.1734E+03 
                1.95E-03         624.854E-03         12.2022E+03 
                2.00001E-03      640.743E-03         12.2303E+03 
                2.05E-03         656.616E-03         12.258E+03  
                2.1E-03          672.494E-03         12.285E+03  
                2.15001E-03      688.372E-03         12.3117E+03 
                2.20001E-03      704.25E-03          12.3379E+03 
                2.25001E-03      720.127E-03         12.3639E+03 
                2.3E-03          736.001E-03         12.3894E+03 
                2.35E-03         751.879E-03         12.4145E+03 
                2.40001E-03      767.757E-03         12.4391E+03 
                2.45001E-03      783.634E-03         12.4633E+03 
                2.5E-03          799.508E-03         12.487E+03  
                2.55E-03         815.387E-03         12.5102E+03 
                2.60001E-03      831.265E-03         12.5333E+03 
                2.65001E-03      847.142E-03         12.556E+03  
                2.70001E-03      863.019E-03         12.5786E+03 
                2.75E-03         878.894E-03         12.6008E+03 
                2.8E-03          894.772E-03         12.6226E+03 
                2.85001E-03      910.649E-03         12.644E+03  
                2.90001E-03      926.528E-03         12.665E+03  
                2.95E-03         942.402E-03         12.6859E+03 
                3.E-03           958.279E-03         12.7066E+03 
                3.05001E-03      974.156E-03         12.727E+03  
                3.10001E-03      990.035E-03         12.7471E+03 
                3.15001E-03        1.006             12.7668E+03 
                3.2E-03            1.022             12.7863E+03 
                3.25E-03           1.038             12.8056E+03 
                3.30001E-03        1.054             12.8247E+03 
                3.35001E-03        1.07              12.8435E+03 
                3.4E-03            1.086             12.862E+03  
                3.45E-03           1.102             12.8803E+03 
                3.50001E-03        1.118             12.8984E+03 
                3.55001E-03        1.134             12.9163E+03 
                3.60001E-03        1.15              12.9339E+03 
                3.65E-03           1.166             12.9513E+03 
                3.7E-03            1.182             12.9685E+03 
                3.75001E-03        1.198             12.9855E+03 
                3.80001E-03        1.214             13.0023E+03 
                3.85E-03           1.23              13.0188E+03 
                3.9E-03            1.246             13.0353E+03 
                3.95001E-03        1.262             13.0515E+03 
                4.00001E-03        1.278             13.0674E+03 
                4.05001E-03        1.294             13.0832E+03 
                4.1E-03            1.30981           13.0988E+03 
                4.15E-03           1.32556           13.1142E+03 
                4.20001E-03        1.34132           13.1293E+03 
                4.25001E-03        1.35707           13.1443E+03 
                4.3E-03            1.37283           13.1591E+03 
                4.35E-03           1.38858           13.1737E+03 
                4.40001E-03        1.40434           13.1882E+03 
                4.45001E-03        1.42009           13.2025E+03 
                4.50001E-03        1.43584           13.2165E+03 
                4.55E-03           1.45159           13.2305E+03 
                4.6E-03            1.46735           13.2442E+03 
                4.65001E-03        1.4831            13.2578E+03 
                4.70001E-03        1.49886           13.2712E+03 
                4.75E-03           1.51461           13.2844E+03 
                4.8E-03            1.53036           13.2975E+03 
                4.85E-03           1.54621           13.3105E+03 
                4.9E-03            1.56259           13.3238E+03 
                4.95E-03           1.57898           13.3369E+03 
                5.E-03             1.59536           13.3498E+03 




