
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.73086E+03
              100.012E-06         32.0044E-03         3.53482E+03
              150.001E-06         47.9975E-03         5.09007E+03
              200.004E-06         63.9906E-03         6.56837E+03
              250.007E-06         79.9837E-03         8.55908E+03
              300.009E-06         95.9768E-03        10.3018E+03 
              350.E-06           111.966E-03         11.7228E+03 
              400.003E-06        127.959E-03         13.5796E+03 
              450.005E-06        143.952E-03         15.0326E+03 
              500.004E-06        159.953E-03         16.3314E+03 
              550.005E-06        175.985E-03         17.483E+03  
              600.007E-06        192.016E-03         17.9679E+03 
              650.008E-06        208.048E-03         18.5234E+03 
              700.01E-06         224.079E-03         18.8651E+03 
              750.011E-06        240.111E-03         19.0305E+03 
              800.001E-06        256.139E-03         19.1343E+03 
              850.003E-06        272.17E-03          19.2104E+03 
              900.004E-06        288.202E-03         19.2653E+03 
              950.006E-06        304.234E-03         19.3062E+03 
                1.00001E-03      320.265E-03         19.3459E+03 
                1.05001E-03      336.296E-03         19.3751E+03 
                1.10001E-03      352.328E-03         19.4032E+03 
                1.15E-03         368.356E-03         19.4245E+03 
                1.2E-03          384.387E-03         19.4419E+03 
                1.25E-03         400.419E-03         19.4536E+03 
                1.3E-03          416.451E-03         19.4647E+03 
                1.35001E-03      432.482E-03         19.4726E+03 
                1.40001E-03      448.513E-03         19.4761E+03 
                1.45001E-03      464.545E-03         19.4792E+03 
                1.50001E-03      480.577E-03         19.4786E+03 
                1.55E-03         496.605E-03         19.4766E+03 
                1.6E-03          512.636E-03         19.4714E+03 
                1.65E-03         528.668E-03         19.4656E+03 
                1.7E-03          544.699E-03         19.4569E+03 
                1.75001E-03      560.73E-03          19.4469E+03 
                1.80001E-03      576.763E-03         19.4345E+03 
                1.85001E-03      592.794E-03         19.421E+03  
                1.90001E-03      608.826E-03         19.4053E+03 
                1.95E-03         624.854E-03         19.3882E+03 
                2.00001E-03      640.743E-03         19.3698E+03 
                2.05E-03         656.616E-03         19.3495E+03 
                2.1E-03          672.494E-03         19.3277E+03 
                2.15001E-03      688.372E-03         19.3043E+03 
                2.20001E-03      704.25E-03          19.2794E+03 
                2.25001E-03      720.127E-03         19.253E+03  
                2.3E-03          736.001E-03         19.2251E+03 
                2.35E-03         751.88E-03          19.1956E+03 
                2.40001E-03      767.757E-03         19.1646E+03 
                2.45001E-03      783.634E-03         19.1319E+03 
                2.5E-03          799.508E-03         19.0979E+03 
                2.55E-03         815.387E-03         19.0622E+03 
                2.60001E-03      831.265E-03         19.025E+03  
                2.65001E-03      847.142E-03         18.9862E+03 
                2.70001E-03      863.021E-03         18.9459E+03 
                2.75E-03         878.895E-03         18.9039E+03 
                2.8E-03          894.772E-03         18.8604E+03 
                2.85001E-03      910.649E-03         18.8152E+03 
                2.90001E-03      926.528E-03         18.7683E+03 
                2.95E-03         942.402E-03         18.7198E+03 
                3.E-03           958.279E-03         18.6696E+03 
                3.05001E-03      974.156E-03         18.6176E+03 
                3.10001E-03      990.035E-03         18.5638E+03 
                3.15001E-03        1.006             18.5083E+03 
                3.2E-03            1.022             18.4509E+03 
                3.25E-03           1.038             18.3915E+03 
                3.30001E-03        1.054             18.3302E+03 
                3.35001E-03        1.07              18.2669E+03 
                3.4E-03            1.086             18.2015E+03 
                3.45E-03           1.102             18.134E+03  
                3.50001E-03        1.118             18.0642E+03 
                3.55001E-03        1.134             17.9921E+03 
                3.60001E-03        1.15              17.9176E+03 
                3.65E-03           1.166             17.8406E+03 
                3.7E-03            1.182             17.7609E+03 
                3.75001E-03        1.198             17.6785E+03 
                3.80001E-03        1.214             17.5933E+03 
                3.85E-03           1.22981           17.5052E+03 
                3.90001E-03        1.2458            17.4132E+03 
                3.95001E-03        1.26165           17.3187E+03 
                4.00001E-03        1.27778           17.2191E+03 
                4.05001E-03        1.29366           17.1176E+03 
                4.1E-03            1.30978           17.0108E+03 
                4.15001E-03        1.32569           16.9017E+03 
                4.20001E-03        1.34178           16.7877E+03 
                4.25E-03           1.35772           16.6707E+03 
                4.3E-03            1.37375           16.5492E+03 
                4.35001E-03        1.38974           16.4242E+03 
                4.4E-03            1.40576           16.295E+03  
                4.45001E-03        1.42174           16.1621E+03 
                4.5E-03            1.43775           16.0251E+03 
                4.55001E-03        1.45371           15.8851E+03 
                4.60001E-03        1.4698            15.7403E+03 
                4.65E-03           1.48565           15.5945E+03 
                4.70001E-03        1.50186           15.4418E+03 
                4.75001E-03        1.51766           15.2898E+03 
                4.8E-03            1.53382           15.1312E+03 
                4.85E-03           1.54981           14.9719E+03 
                4.9E-03            1.56564           14.8117E+03 
                4.95E-03           1.58187           14.6456E+03 
                5.E-03             1.59772           14.4819E+03 




