"displacement,mm","force,kN","force,N"
0.0,0.00877679,8.77679
0.0159997,1.7308599999999998,1730.86
0.0320044,3.5348200000000003,3534.82
0.0479975,5.09007,5090.07
0.0639906,6.56837,6568.37
0.0799837,8.4994,8499.4
0.0959768,9.75748,9757.48
0.111966,10.7694,10769.4
0.127959,11.5403,11540.3
0.143952,12.316,12316.0
0.159953,12.9725,12972.5
0.175985,13.6054,13605.4
0.192016,14.075700000000001,14075.7
0.208048,14.5688,14568.8
0.224079,14.905700000000001,14905.7
0.240111,15.2408,15240.8
0.256139,15.5353,15535.3
0.27217,15.741200000000001,15741.2
0.288202,15.887200000000002,15887.2
0.304234,15.9955,15995.5
0.320265,16.0766,16076.6
0.336296,16.1327,16132.7
0.352328,16.1764,16176.4
0.368356,16.2127,16212.7
0.384387,16.2504,16250.4
0.400419,16.2806,16280.6
0.416451,16.3051,16305.1
0.432482,16.3344,16334.4
0.448513,16.3535,16353.5
0.464545,16.3775,16377.5
0.480577,16.395400000000002,16395.4
0.496605,16.4143,16414.3
0.512636,16.4332,16433.2
0.528668,16.447200000000002,16447.2
0.544699,16.462400000000002,16462.4
0.56073,16.4778,16477.8
0.576763,16.490900000000003,16490.9
0.592794,16.502299999999998,16502.3
0.608826,16.5138,16513.8
0.624854,16.5251,16525.1
0.640743,16.5358,16535.8
0.656616,16.5454,16545.4
0.672494,16.5541,16554.1
0.688372,16.562099999999997,16562.1
0.70425,16.5697,16569.7
0.720127,16.5768,16576.8
0.736001,16.5833,16583.3
0.751879,16.5895,16589.5
0.767757,16.595200000000002,16595.2
0.783634,16.6004,16600.4
0.799508,16.6052,16605.2
0.815387,16.6096,16609.6
0.831265,16.6137,16613.7
0.847142,16.6172,16617.2
0.863019,16.6204,16620.4
0.878895,16.6232,16623.2
0.894772,16.625700000000002,16625.7
0.910649,16.6277,16627.7
0.926528,16.6293,16629.3
0.942402,16.6305,16630.5
0.958279,16.6315,16631.5
0.974156,16.632099999999998,16632.1
0.990035,16.6325,16632.5
1.00602,16.6326,16632.6
1.02201,16.6323,16632.3
1.03801,16.631700000000002,16631.7
1.05402,16.6307,16630.7
1.07002,16.6295,16629.5
1.08601,16.628,16628.0
1.10201,16.6262,16626.2
1.11802,16.624200000000002,16624.2
1.13385,16.6218,16621.8
1.14961,16.6191,16619.1
1.16567,16.6161,16616.1
1.18174,16.6128,16612.8
1.1978,16.6093,16609.3
1.21386,16.6055,16605.5
1.22992,16.6014,16601.4
1.24599,16.597,16597.0
1.26178,16.5924,16592.4
1.27753,16.5876,16587.6
1.29329,16.5825,16582.5
1.30946,16.577099999999998,16577.1
1.32584,16.5712,16571.2
1.34223,16.565099999999997,16565.1
1.35861,16.5587,16558.7
1.37476,16.552,16552.0
1.39089,16.545099999999998,16545.1
1.40702,16.5378,16537.8
1.42315,16.5303,16530.3
1.43928,16.5226,16522.6
1.45541,16.5145,16514.5
1.47153,16.5061,16506.1
1.48766,16.4975,16497.5
1.50379,16.488599999999998,16488.6
1.51992,16.479400000000002,16479.4
1.53605,16.469900000000003,16469.9
1.55218,16.4601,16460.1
1.5683,16.45,16450.0
1.58443,16.4396,16439.6
1.60056,16.428900000000002,16428.9
