"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.133656,133.656
0.03599,0.599326,599.326
0.0539531,1.00942,1009.42
0.071938,1.3026,1302.6
0.0899438,1.89351,1893.51
0.107949,2.2730799999999998,2273.08
0.12595,2.4805300000000003,2480.53
0.143869,2.75629,2756.29
0.16179,2.97487,2974.87
0.179766,3.18162,3181.62
0.197928,3.72183,3721.83
0.21609,4.09473,4094.73
0.234253,4.30811,4308.11
0.252433,4.51567,4515.67
0.270768,4.75866,4758.66
0.289103,4.78739,4787.39
0.307438,4.97891,4978.91
0.325545,5.25474,5254.74
0.343534,5.40233,5402.33
0.361302,5.46732,5467.32
0.378817,5.57612,5576.12
0.396333,5.70613,5706.13
0.413849,5.781140000000001,5781.14
0.431364,5.86979,5869.79
0.44888,5.90272,5902.72
0.466396,5.93886,5938.86
0.483912,5.97991,5979.91
0.501535,5.9524300000000006,5952.43
0.519848,5.96111,5961.11
0.537939,5.997020000000001,5997.02
0.555962,5.97945,5979.45
0.573946,5.99149,5991.49
0.591999,5.99962,5999.62
0.610017,5.99427,5994.27
0.628022,6.0090200000000005,6009.02
0.646324,6.00677,6006.77
0.664353,6.010770000000001,6010.77
0.68234,6.01806,6018.06
0.700255,6.0163,6016.3
0.718722,6.021520000000001,6021.52
0.737794,6.02591,6025.91
0.75626,6.03486,6034.86
0.774475,6.036560000000001,6036.56
0.79202,6.04297,6042.97
0.809192,6.04114,6041.14
0.827587,6.04125,6041.25
0.846776,6.04663,6046.63
0.865365,6.0506400000000005,6050.64
0.883263,6.05649,6056.49
0.900345,6.05617,6056.17
0.917412,6.058,6058.0
0.934479,6.06801,6068.01
0.951546,6.072850000000001,6072.85
0.968613,6.07692,6076.92
0.985679,6.08615,6086.15
1.00275,6.08938,6089.38
1.01981,6.096979999999999,6096.98
1.03688,6.10133,6101.33
1.05394,6.1085400000000005,6108.54
1.07101,6.11236,6112.36
1.08808,6.119149999999999,6119.15
1.10515,6.12809,6128.09
1.12221,6.1336,6133.6
1.13928,6.1372100000000005,6137.21
1.15851,6.14663,6146.63
1.17898,6.15308,6153.08
1.19765,6.15867,6158.67
1.21558,6.16826,6168.26
1.2335,6.17546,6175.46
1.25142,6.18883,6188.83
1.26934,6.1994,6199.4
1.28726,6.20779,6207.79
1.30518,6.217300000000001,6217.3
1.3231,6.23215,6232.15
1.34102,6.24659,6246.59
1.35894,6.25904,6259.04
1.37686,6.26951,6269.51
1.39478,6.28208,6282.08
1.41009,6.29587,6295.87
1.42502,6.3036,6303.6
1.43995,6.30926,6309.26
1.45489,6.32109,6321.09
1.46982,6.3194300000000005,6319.43
1.48475,6.32553,6325.53
1.49969,6.3388,6338.8
1.51462,6.347,6347.0
1.52955,6.347840000000001,6347.84
1.54449,6.340470000000001,6340.47
1.55942,6.34225,6342.25
1.57435,6.36315,6363.15
1.58929,6.374180000000001,6374.18
1.60422,6.36772,6367.72
1.61915,6.374689999999999,6374.69
1.63409,6.35803,6358.03
1.64902,6.35134,6351.34
1.66395,6.36855,6368.55
1.67889,6.37517,6375.17
1.69382,6.35538,6355.38
1.71065,6.38571,6385.71
1.73301,6.33608,6336.08
