"displacement,mm","force,kN","force,N"
0.0,0.00877679,8.77679
0.0159997,1.7308599999999998,1730.86
0.0320044,3.5348200000000003,3534.82
0.0479975,5.09004,5090.04
0.0639906,6.2883000000000004,6288.3
0.0799837,7.34729,7347.29
0.0959768,7.96485,7964.85
0.111966,8.37797,8377.97
0.127959,8.76509,8765.09
0.143952,9.028110000000002,9028.11
0.159953,9.27024,9270.24
0.175985,9.43774,9437.74
0.192016,9.5533,9553.3
0.208048,9.64213,9642.13
0.224079,9.72048,9720.48
0.240111,9.79527,9795.27
0.256139,9.84385,9843.85
0.27217,9.906889999999999,9906.89
0.288202,9.949430000000001,9949.43
0.304234,10.0038,10003.8
0.320265,10.046,10046.0
0.336296,10.0869,10086.9
0.352328,10.1318,10131.8
0.368355,10.171,10171.0
0.384387,10.2064,10206.4
0.400419,10.241700000000002,10241.7
0.416451,10.278,10278.0
0.432482,10.3133,10313.3
0.448513,10.3469,10346.9
0.464545,10.3789,10378.9
0.480577,10.4095,10409.5
0.496605,10.4391,10439.1
0.512636,10.468,10468.0
0.528668,10.496200000000002,10496.2
0.544699,10.5239,10523.9
0.56073,10.551,10551.0
0.576763,10.5775,10577.5
0.592794,10.603299999999999,10603.3
0.608826,10.6286,10628.6
0.624853,10.653200000000002,10653.2
0.640743,10.677,10677.0
0.656616,10.7001,10700.1
0.672494,10.7226,10722.6
0.688372,10.7446,10744.6
0.70425,10.7663,10766.3
0.720127,10.7879,10787.9
0.736001,10.8094,10809.4
0.751879,10.8304,10830.4
0.767757,10.850700000000002,10850.7
0.783634,10.8703,10870.3
0.799508,10.8895,10889.5
0.815387,10.908700000000001,10908.7
0.831265,10.9279,10927.9
0.847142,10.9466,10946.6
0.863019,10.9647,10964.7
0.878894,10.9824,10982.4
0.894772,10.9999,10999.9
0.910649,11.0175,11017.5
0.926528,11.0347,11034.7
0.942402,11.051200000000001,11051.2
0.958279,11.0675,11067.5
0.974156,11.0839,11083.9
0.990035,11.1,11100.0
1.00601,11.1156,11115.6
1.02201,11.1309,11130.9
1.03801,11.1464,11146.4
1.05401,11.1614,11161.4
1.07001,11.176,11176.0
1.08601,11.1906,11190.6
1.10201,11.2051,11205.1
1.11801,11.219100000000001,11219.1
1.13401,11.232899999999999,11232.9
1.15001,11.2468,11246.8
1.16601,11.260299999999999,11260.3
1.18201,11.2735,11273.5
1.19801,11.286700000000002,11286.7
1.21401,11.299700000000001,11299.7
1.23001,11.312299999999999,11312.3
1.2458,11.3249,11324.9
1.26156,11.3374,11337.4
1.27731,11.3495,11349.5
1.29307,11.3615,11361.5
1.30882,11.3734,11373.4
1.32457,11.385,11385.0
1.34032,11.3965,11396.5
1.35608,11.4079,11407.9
1.37183,11.4191,11419.1
1.38759,11.430100000000001,11430.1
1.40334,11.4409,11440.9
1.4191,11.451600000000001,11451.6
1.43485,11.462200000000001,11462.2
1.4506,11.4726,11472.6
1.46673,11.483,11483.0
1.48311,11.4936,11493.6
1.4995,11.5039,11503.9
1.51588,11.514100000000001,11514.1
1.53227,11.5241,11524.1
1.54845,11.534,11534.0
1.56458,11.543700000000001,11543.7
1.5807,11.5534,11553.4
1.59683,11.5628,11562.8
