"displacement,mm","force,kN","force,N"
0.0,0.00877679,8.77679
0.0159997,1.7308599999999998,1730.86
0.0320044,3.50869,3508.69
0.0479975,4.59539,4595.39
0.0639906,5.59833,5598.33
0.0799837,6.49152,6491.52
0.0959768,7.33245,7332.45
0.111966,8.00738,8007.38
0.127959,8.59328,8593.28
0.143952,9.02573,9025.73
0.159953,9.34829,9348.29
0.175985,9.519530000000001,9519.53
0.192016,9.65677,9656.77
0.208048,9.77818,9778.18
0.224079,9.88918,9889.18
0.240111,9.99151,9991.51
0.256139,10.0745,10074.5
0.27217,10.1492,10149.2
0.288202,10.233,10233.0
0.304234,10.2944,10294.4
0.320265,10.3686,10368.6
0.336296,10.4249,10424.9
0.352328,10.488,10488.0
0.368356,10.5464,10546.4
0.384387,10.5961,10596.1
0.400419,10.649799999999999,10649.8
0.416451,10.702200000000001,10702.2
0.432482,10.748299999999999,10748.3
0.448513,10.7918,10791.8
0.464545,10.8366,10836.6
0.480577,10.8811,10881.1
0.496605,10.9233,10923.3
0.512636,10.963600000000001,10963.6
0.528668,11.0015,11001.5
0.544699,11.0385,11038.5
0.56073,11.074100000000001,11074.1
0.576763,11.1093,11109.3
0.592794,11.1432,11143.2
0.608826,11.1766,11176.6
0.624853,11.209,11209.0
0.640743,11.240200000000002,11240.2
0.656616,11.2708,11270.8
0.672494,11.300600000000001,11300.6
0.688372,11.329600000000001,11329.6
0.70425,11.358,11358.0
0.720127,11.3858,11385.8
0.736001,11.412799999999999,11412.8
0.751879,11.439,11439.0
0.767757,11.4646,11464.6
0.783634,11.4893,11489.3
0.799508,11.5134,11513.4
0.815387,11.5369,11536.9
0.831265,11.560200000000002,11560.2
0.847142,11.583200000000001,11583.2
0.863019,11.6058,11605.8
0.878894,11.627799999999999,11627.8
0.894772,11.649000000000001,11649.0
0.910649,11.6696,11669.6
0.926528,11.6898,11689.8
0.942402,11.7099,11709.9
0.958279,11.729700000000001,11729.7
0.974156,11.749,11749.0
0.990035,11.7675,11767.5
1.00601,11.7857,11785.7
1.02201,11.803700000000001,11803.7
1.03801,11.8216,11821.6
1.05401,11.8389,11838.9
1.07001,11.8556,11855.6
1.08601,11.872100000000001,11872.1
1.10201,11.8886,11888.6
1.11801,11.9045,11904.5
1.13401,11.92,11920.0
1.15001,11.935200000000002,11935.2
1.16601,11.9504,11950.4
1.18201,11.965100000000001,11965.1
1.19801,11.9793,11979.3
1.21401,11.9934,11993.4
1.23001,12.0074,12007.4
1.24601,12.0209,12020.9
1.26201,12.034,12034.0
1.27801,12.0471,12047.1
1.29401,12.0599,12059.9
1.31,12.0722,12072.2
1.32575,12.0844,12084.4
1.34151,12.0965,12096.5
1.35726,12.108,12108.0
1.37301,12.1195,12119.5
1.38877,12.130700000000001,12130.7
1.40452,12.1416,12141.6
1.42028,12.1523,12152.3
1.43603,12.162799999999999,12162.8
1.45178,12.173,12173.0
1.46754,12.183,12183.0
1.48329,12.1929,12192.9
1.49905,12.202399999999999,12202.4
1.5148,12.2117,12211.7
1.53064,12.221,12221.0
1.54703,12.230200000000002,12230.2
1.56341,12.2393,12239.3
1.5798,12.2481,12248.1
1.59618,12.2567,12256.7
