"displacement,mm","force,kN","force,N"
0.0,0.00877679,8.77679
0.0159997,1.7308599999999998,1730.86
0.0320044,3.03085,3030.85
0.0479975,3.7411700000000003,3741.17
0.0639906,4.42004,4420.04
0.0799837,4.974310000000001,4974.31
0.0959768,5.47081,5470.81
0.111966,5.86165,5861.65
0.127959,6.0986,6098.6
0.143952,6.19906,6199.06
0.159953,6.24963,6249.63
0.175985,6.28715,6287.15
0.192016,6.32643,6326.43
0.208048,6.3541300000000005,6354.13
0.224079,6.3847,6384.7
0.240111,6.41308,6413.08
0.256139,6.4385,6438.5
0.27217,6.462899999999999,6462.9
0.288202,6.48745,6487.45
0.304234,6.51042,6510.42
0.320265,6.53311,6533.11
0.336296,6.55508,6555.08
0.352328,6.57594,6575.94
0.368356,6.59662,6596.62
0.384387,6.61649,6616.49
0.400419,6.6358999999999995,6635.9
0.416451,6.65515,6655.15
0.432482,6.67387,6673.87
0.448513,6.692,6692.0
0.464545,6.70969,6709.69
0.480577,6.72688,6726.88
0.496605,6.7436300000000005,6743.63
0.512636,6.7604,6760.4
0.528668,6.77698,6776.98
0.544699,6.79304,6793.04
0.56073,6.808590000000001,6808.59
0.576763,6.823930000000001,6823.93
0.592794,6.83932,6839.32
0.608826,6.85433,6854.33
0.624854,6.86891,6868.91
0.640743,6.88321,6883.21
0.656616,6.89742,6897.42
0.672494,6.91125,6911.25
0.688372,6.9248400000000006,6924.84
0.70425,6.93842,6938.42
0.720127,6.951720000000001,6951.72
0.736001,6.964729999999999,6964.73
0.751879,6.97771,6977.71
0.767757,6.99048,6990.48
0.783634,7.003,7003.0
0.799508,7.015420000000001,7015.42
0.815387,7.02769,7027.69
0.831265,7.03973,7039.73
0.847142,7.05169,7051.69
0.863019,7.06349,7063.49
0.878894,7.075100000000001,7075.1
0.894772,7.08665,7086.65
0.910649,7.098,7098.0
0.926528,7.10925,7109.25
0.942402,7.12035,7120.35
0.958279,7.13133,7131.33
0.974156,7.14222,7142.22
0.990035,7.15294,7152.94
1.006,7.163550000000001,7163.55
1.022,7.174060000000001,7174.06
1.038,7.18445,7184.45
1.054,7.19475,7194.75
1.07,7.20491,7204.91
1.086,7.21498,7214.98
1.102,7.22495,7224.95
1.118,7.23482,7234.82
1.134,7.2446,7244.6
1.15,7.25426,7254.26
1.166,7.26386,7263.86
1.182,7.273350000000001,7273.35
1.19798,7.28275,7282.75
1.21373,7.29204,7292.04
1.22948,7.30124,7301.24
1.24541,7.31043,7310.43
1.26121,7.31949,7319.49
1.27696,7.32841,7328.41
1.29271,7.3372399999999995,7337.24
1.30847,7.346,7346.0
1.32422,7.35463,7354.63
1.33997,7.3632100000000005,7363.21
1.35573,7.37169,7371.69
1.37148,7.38009,7380.09
1.38724,7.3884,7388.4
1.40299,7.39665,7396.65
1.41874,7.40479,7404.79
1.4345,7.412890000000001,7412.89
1.45087,7.42119,7421.19
1.46725,7.42944,7429.44
1.48364,7.437600000000001,7437.6
1.50002,7.4456999999999995,7445.7
1.51641,7.4536999999999995,7453.7
1.5326,7.46163,7461.63
1.54873,7.4694899999999995,7469.49
1.56486,7.4772799999999995,7477.28
1.58098,7.484979999999999,7484.98
1.59711,7.49262,7492.62
