"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.133656,133.656
0.03599,0.593818,593.818
0.0539531,0.978021,978.021
0.0719376,1.25362,1253.62
0.0899227,1.6617000000000002,1661.7
0.107842,1.5017,1501.7
0.125815,1.4315,1431.5
0.143814,1.50106,1501.06
0.161802,1.5186600000000001,1518.66
0.179764,1.5953800000000002,1595.38
0.197754,1.57014,1570.14
0.215784,1.5129400000000002,1512.94
0.233677,1.5778699999999999,1577.87
0.251633,1.52528,1525.28
0.269483,1.58525,1585.25
0.287268,1.58059,1580.59
0.305232,1.5524900000000001,1552.49
0.323453,1.59646,1596.46
0.341596,1.5695000000000001,1569.5
0.359622,1.55756,1557.56
0.377436,1.6122,1612.2
0.395531,1.5851300000000001,1585.13
0.413517,1.59746,1597.46
0.431757,1.5992600000000001,1599.26
0.450072,1.58204,1582.04
0.46842,1.58325,1583.25
0.486767,1.60831,1608.31
0.505114,1.6219700000000001,1621.97
0.523289,1.6124800000000001,1612.48
0.54121,1.6139400000000002,1613.94
0.559129,1.61886,1618.86
0.577049,1.6124100000000001,1612.41
0.594969,1.63195,1631.95
0.61289,1.62259,1622.59
0.630356,1.63027,1630.27
0.648629,1.62811,1628.11
0.666916,1.63034,1630.34
0.685201,1.6393,1639.3
0.703487,1.63926,1639.26
0.721082,1.63958,1639.58
0.738454,1.64297,1642.97
0.755825,1.64673,1646.73
0.773197,1.64677,1646.77
0.790569,1.64977,1649.77
0.807349,1.6529,1652.9
0.823833,1.6527100000000001,1652.71
0.842701,1.6528800000000001,1652.88
0.861897,1.65785,1657.85
0.881095,1.66034,1660.34
0.900287,1.6634300000000002,1663.43
0.919487,1.6654000000000002,1665.4
0.938686,1.66681,1666.81
0.957886,1.66999,1669.99
0.977086,1.6736600000000001,1673.66
0.996285,1.675,1675.0
1.01549,1.67709,1677.09
1.03469,1.67973,1679.73
1.05389,1.6814900000000002,1681.49
1.07309,1.6845999999999999,1684.6
1.09229,1.68686,1686.86
1.11149,1.68883,1688.83
1.13068,1.69097,1690.97
1.14989,1.69348,1693.48
1.16909,1.6958499999999999,1695.85
1.18829,1.6978499999999999,1697.85
1.20749,1.70072,1700.72
1.22669,1.7031800000000001,1703.18
1.24589,1.70573,1705.73
1.26509,1.70736,1707.36
1.28428,1.71079,1710.79
1.30332,1.71208,1712.08
1.31978,1.7147999999999999,1714.8
1.33624,1.71532,1715.32
1.35269,1.72019,1720.19
1.36915,1.72141,1721.41
1.38561,1.72202,1722.02
1.40207,1.7256300000000002,1725.63
1.41852,1.72776,1727.76
1.43738,1.72964,1729.64
1.45658,1.7329400000000001,1732.94
1.47578,1.73631,1736.31
1.49498,1.7393800000000001,1739.38
1.51418,1.74106,1741.06
1.53343,1.74218,1742.18
1.55413,1.74645,1746.45
1.57546,1.7438,1743.8
1.59679,1.74603,1746.03
1.61717,1.75102,1751.02
1.63675,1.7535,1753.5
1.65612,1.75098,1750.98
1.67534,1.75221,1752.21
1.6939,1.75925,1759.25
1.71151,1.76075,1760.75
1.72872,1.7634,1763.4
1.74584,1.7601099999999998,1760.11
1.76292,1.76326,1763.26
1.77999,1.7653800000000002,1765.38
1.79611,1.76085,1760.85
1.81149,1.7669100000000002,1766.91
1.82662,1.76783,1767.83
